"Statistic Label","Year","Electoral Division","UNIT","VALUE"
"Median Gross Household Income","2022","Edmondstown, South Dublin","€","76213"
"Median Gross Household Income","2022","Firhouse Village, South Dublin","€","80903"
"Median Gross Household Income","2022","Firhouse-Ballycullen, South Dublin","€","108609"
"Median Gross Household Income","2022","Firhouse-Knocklyon, South Dublin","€","81904"
"Median Gross Household Income","2022","Lucan Heights, South Dublin","€","68878"
"Median Gross Household Income","2022","Lucan-Esker, South Dublin","€","87714"
"Median Gross Household Income","2022","Lucan-St. Helens, South Dublin","€","87643"
"Median Gross Household Income","2022","Newcastle, South Dublin","€","76839"
"Median Gross Household Income","2022","Palmerston Village, South Dublin","€","58480"
"Median Gross Household Income","2022","Palmerston West, South Dublin","€","65615"
"Median Gross Household Income","2022","Rathcoole, South Dublin","€","79106"
"Median Gross Household Income","2022","Rathfarnham Village, South Dublin","€","89027"
"Median Gross Household Income","2022","Rathfarnham-Ballyroan, South Dublin","€","88226"
"Median Gross Household Income","2022","Rathfarnham-Butterfield, South Dublin","€","86243"
"Median Gross Household Income","2022","Rathfarnham-Hermitage, South Dublin","€","95262"
"Median Gross Household Income","2022","Rathfarnham-St. Enda's, South Dublin","€","81115"
"Median Gross Household Income","2022","Saggart, South Dublin","€","76377"
"Median Gross Household Income","2022","Tallaght-Avonbeg, South Dublin","€","45946"
"Median Gross Household Income","2022","Tallaght-Belgard, South Dublin","€","65619"
"Median Gross Household Income","2022","Tallaght-Fettercairn, South Dublin","€","61860"
"Median Gross Household Income","2022","Tallaght-Glenview, South Dublin","€","54993"
"Median Gross Household Income","2022","Tallaght-Jobstown, South Dublin","€","60058"
"Median Gross Household Income","2022","Tallaght-Killinardan, South Dublin","€","47630"
"Median Gross Household Income","2022","Tallaght-Kilnamanagh, South Dublin","€","61613"
"Median Gross Household Income","2022","Tallaght-Kiltipper, South Dublin","€","62939"
"Median Gross Household Income","2022","Tallaght-Kingswood, South Dublin","€","56582"
"Median Gross Household Income","2022","Tallaght-Millbrook, South Dublin","€","51609"
"Median Gross Household Income","2022","Tallaght-Oldbawn, South Dublin","€","61700"
"Median Gross Household Income","2022","Tallaght-Springfield, South Dublin","€","57860"
"Median Gross Household Income","2022","Tallaght-Tymon, South Dublin","€","50045"
"Median Gross Household Income","2022","Templeogue Village, South Dublin","€","97068"
"Median Gross Household Income","2022","Templeogue-Cypress, South Dublin","€","85189"
"Median Gross Household Income","2022","Templeogue-Kimmage Manor, South Dublin","€","106869"
"Median Gross Household Income","2022","Templeogue-Limekiln, South Dublin","€","68766"
"Median Gross Household Income","2022","Templeogue-Orwell, South Dublin","€","76484"
"Median Gross Household Income","2022","Templeogue-Osprey, South Dublin","€","73947"
"Median Gross Household Income","2022","Terenure-Cherryfield, South Dublin","€","63412"
"Median Gross Household Income","2022","Terenure-Greentrees, South Dublin","€","73219"
"Median Gross Household Income","2022","Terenure-St. James, South Dublin","€","48144"
"Median Gross Household Income","2022","Airport, Fingal","€","72932"
"Median Gross Household Income","2022","Balbriggan Rural, Fingal","€","63591"
"Median Gross Household Income","2022","Balbriggan Urban, Fingal","€","56005"
"Median Gross Household Income","2022","Baldoyle, Fingal","€","69265"
"Median Gross Household Income","2022","Balgriffin, Fingal","€","98314"
"Median Gross Household Income","2022","Ballyboghil, Fingal","€","84073"
"Median Gross Household Income","2022","Balscadden, Fingal","€","83700"
"Median Gross Household Income","2022","Blanchardstown-Abbotstown, Fingal","€","79167"
"Median Gross Household Income","2022","Blanchardstown-Blakestown, Fingal","€","79272"
"Median Gross Household Income","2022","Blanchardstown-Coolmine, Fingal","€","63712"
"Median Gross Household Income","2022","Blanchardstown-Corduff, Fingal","€","52247"
"Median Gross Household Income","2022","Blanchardstown-Delwood, Fingal","€","68157"
"Median Gross Household Income","2022","Blanchardstown-Mulhuddart, Fingal","€","60852"
"Median Gross Household Income","2022","Blanchardstown-Roselawn, Fingal","€","63524"
"Median Gross Household Income","2022","Blanchardstown-Tyrrelstown, Fingal","€","47707"
"Median Gross Household Income","2022","Castleknock-Knockmaroon, Fingal","€","98216"
"Median Gross Household Income","2022","Castleknock-Park, Fingal","€","109592"
"Median Gross Household Income","2022","Clonmethan, Fingal","€","78718"
"Median Gross Household Income","2022","Donabate, Fingal","€","89010"
"Median Gross Household Income","2022","Dubber, Fingal","€","66259"
"Median Gross Household Income","2022","Garristown, Fingal","€","75548"
"Median Gross Household Income","2022","Hollywood, Fingal","€","82858"
"Median Gross Household Income","2022","Holmpatrick, Fingal","€","81676"
"Median Gross Household Income","2022","Howth, Fingal","€","86127"
"Median Gross Household Income","2022","Kilsallaghan, Fingal","€","73829"
"Median Gross Household Income","2022","Kinsaley, Fingal","€","82073"
"Median Gross Household Income","2022","Lucan North, Fingal","€","128856"
"Median Gross Household Income","2022","Lusk, Fingal","€","78709"
"Median Gross Household Income","2022","Malahide East, Fingal","€","90655"
"Median Gross Household Income","2022","Malahide West, Fingal","€","92161"
"Median Gross Household Income","2022","Portmarnock North, Fingal","€","81054"
"Median Gross Household Income","2022","Portmarnock South, Fingal","€","92578"
"Median Gross Household Income","2022","Rush, Fingal","€","73656"
"Median Gross Household Income","2022","Skerries, Fingal","€","75119"
"Median Gross Household Income","2022","Sutton, Fingal","€","72995"
"Median Gross Household Income","2022","Swords Village, Fingal","€","63005"
"Median Gross Household Income","2022","Swords-Forrest, Fingal","€","81647"
"Median Gross Household Income","2022","Swords-Glasmore, Fingal","€","76842"
"Median Gross Household Income","2022","Swords-Lissenhall, Fingal","€","78039"
"Median Gross Household Income","2022","Swords-Seatown, Fingal","€","86246"
"Median Gross Household Income","2022","The Ward, Fingal","€","83525"
"Median Gross Household Income","2022","Turnapin, Fingal","€","80902"
"Median Gross Household Income","2022","Ballinteer-Broadford, Dún Laoghaire-Rathdown","€","64385"
"Median Gross Household Income","2022","Ballinteer-Ludford, Dún Laoghaire-Rathdown","€","72176"
"Median Gross Household Income","2022","Ballinteer-Marley, Dún Laoghaire-Rathdown","€","80476"
"Median Gross Household Income","2022","Ballinteer-Meadowbroads, Dún Laoghaire-Rathdown","€","76581"
"Median Gross Household Income","2022","Ballinteer-Meadowmount, Dún Laoghaire-Rathdown","€","58657"
"Median Gross Household Income","2022","Ballinteer-Woodpark, Dún Laoghaire-Rathdown","€","82671"
"Median Gross Household Income","2022","Ballybrack, Dún Laoghaire-Rathdown","€","70301"
"Median Gross Household Income","2022","Blackrock-Booterstown, Dún Laoghaire-Rathdown","€","93792"
"Median Gross Household Income","2022","Blackrock-Carysfort, Dún Laoghaire-Rathdown","€","97032"
"Median Gross Household Income","2022","Blackrock-Central, Dún Laoghaire-Rathdown","€","107655"
"Median Gross Household Income","2022","Blackrock-Glenomena, Dún Laoghaire-Rathdown","€","95656"
"Median Gross Household Income","2022","Blackrock-Monkstown, Dún Laoghaire-Rathdown","€","88689"
"Median Gross Household Income","2022","Blackrock-Newpark, Dún Laoghaire-Rathdown","€","86763"
